"friendAreaId","parentFriendAreaId","name","isFolder"
"1",NULL,"Badlands","1"
"2","1","Thunder Crag","0"
"3","1","Ravaged Field","0"
"4","1","Magnetic Quarry","0"
"5",NULL,"Eastern Ponds","1"
"6","5","Tadpole Pond","0"
"7",NULL,"Relics","1"
"8","7","Aged Chamber A–N","0"
"9","7","Aged Chamber O–?","0"
"10","7","Ancient Relic","0"
"11",NULL,"Beach","1"
"12","11","Shallow Beach","0"
"13","11","Ice Floe Beach","0"
"14",NULL,"Volcano","1"
"15","14","Scorched Plains","0"
"16","14","Crater","0"
"17","14","Volcanic Pit","0"
"18",NULL,"River","1"
"19","18","Rub-a-Dub River","0"
"20",NULL,"Northern Sea","1"
"21","20","Bountiful Sea","0"
"22","20","Serene Sea","0"
"23","20","Deepsea Current","0"
"24",NULL,"Pond","1"
"25","24","Turtleshell Pond","0"
"26",NULL,"Western Isles","1"
"27","26","Final Island","0"
"28",NULL,"Desert","1"
"29","28","Withering Desert","0"
"30",NULL,"Mountain Range","1"
"31","30","Mt. Green","0"
"32","30","Mt. Cleft","0"
"33","30","Mt. Moonview","0"
"34","30","Rainbow Peak","0"
"35","30","Mt. Discipline","0"
"36","30","Darkness Ridge","0"
"37",NULL,"Jungle","1"
"38","37","Jungle","0"
"39",NULL,"Northern Lakes","1"
"40","39","Mystic Lake","0"
"41",NULL,"Eastern Lakes","1"
"42","41","Waterfall Lake","0"
"43",NULL,"Sky","1"
"44","43","Stratos Lookout","0"
"45",NULL,"Northern Isles","1"
"46","45","Legendary Island","0"
"47",NULL,"Cave","1"
"48","47","Echo Cave","0"
"49","47","Cryptic Cave","0"
"50","47","Dragon Cave","0"
"51","47","Boulder Cave","0"
"52",NULL,"Southwest Isles","1"
"53","52","Enclosed Island","0"
"54",NULL,"Western Forest","1"
"55","54","Mushroom Forest","0"
"56","54","Healing Forest","0"
"57","54","Evolution Forest","0"
"58","54","Secretive Forest","0"
"59",NULL,"Marsh","1"
"60","59","Gourd Swamp","0"
"61","59","Poison Swamp","0"
"62",NULL,"Ruins","1"
"63","62","Decrepit Lab","0"
"64","62","Power Plant","0"
"65",NULL,"Eastern Forest","1"
"66","65","Stump Forest","0"
"67","65","Flyaway Forest","0"
"68","65","Overgrown Forest","0"
"69","65","Vibrant Forest","0"
"70",NULL,"Southern Sea","1"
"71","70","Treasure Sea","0"
"72","70","Deepsea Floor","0"
"73","70","Seafloor Cave","0"
"74",NULL,"Southern Isles","1"
"75","74","Southern Island","0"
"76",NULL,"South Plains","1"
"77","76","Wild Plains","0"
"78","76","Safari","0"
"79",NULL,"Plains","1"
"80","79","Beau Plains","0"
"81","79","Sky-Blue Plains","0"
"82","79","Sacred Field","0"
"83",NULL,"Glacier","1"
"84","83","Frigid Cavern","0"
